Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=80_tra=400_rot=60_pos=initial.txt,RDS,80,400,60,276.454,399.949,181.352,276.454,-47.674,132,137
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=80_tra=400_rot=90_pos=initial.txt,RDS,80,400,90,290.823,411.404,21.133,290.823,-82.227,129,135
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=0_pos=initial.txt,SUV,100,-200,0,58.787,9.378,18.606,58.787,-5.192,56,228
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=120_pos=initial.txt,SUV,100,-200,120,84.612,164.477,77.704,84.612,-8.609,94,28
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=150_pos=initial.txt,SUV,100,-200,150,36.922,15.699,13.062,36.922,-8.562,65,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=180_pos=initial.txt,SUV,100,-200,180,95.779,19.032,73.832,95.779,-27.783,55,241
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=210_pos=initial.txt,SUV,100,-200,210,40.058,106.621,23.483,40.058,-9.758,41,155
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=240_pos=initial.txt,SUV,100,-200,240,57.761,132.532,19.81,57.761,-35.666,36,81
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=270_pos=initial.txt,SUV,100,-200,270,90.464,179.295,7.92,82.099,-90.464,37,77
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=300_pos=initial.txt,SUV,100,-200,300,56.05,111.832,31.893,56.05,-25.06,36,103
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=30_pos=initial.txt,SUV,100,-200,30,44.685,30.584,29.952,44.685,-10.884,64,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=330_pos=initial.txt,SUV,100,-200,330,42.138,94.84,25.572,42.138,-13.924,49,123
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=60_pos=initial.txt,SUV,100,-200,60,93.134,162.543,50.185,93.134,-10.398,93,28
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=90_pos=initial.txt,SUV,100,-200,90,120.035,233.041,17.796,120.035,-26.642,88,107
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=0_pos=initial.txt,SUV,100,-400,0,56.098,6.562,19.435,56.098,-12.229,56,30
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=120_pos=initial.txt,SUV,100,-400,120,82.548,154.197,100.457,82.548,-15.971,94,122
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=150_pos=initial.txt,SUV,100,-400,150,31.723,32.501,22.86,31.723,-5.526,68,173
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=180_pos=initial.txt,SUV,100,-400,180,56.946,8.709,17.276,56.946,-2.169,57,11
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=210_pos=initial.txt,SUV,100,-400,210,39.163,105.255,15.41,39.163,-26.763,44,93
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=240_pos=initial.txt,SUV,100,-400,240,58.906,111.096,16.607,58.906,-22.931,42,87
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=270_pos=initial.txt,SUV,100,-400,270,77.092,190.628,26.384,73.233,-77.092,40,49
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=300_pos=initial.txt,SUV,100,-400,300,45.571,160.343,75.302,45.571,-21.781,39,91
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=30_pos=initial.txt,SUV,100,-400,30,44.732,36.433,28.51,44.732,-16.529,66,34
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=330_pos=initial.txt,SUV,100,-400,330,37.959,79.691,28.428,37.959,-8.568,29,127
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=60_pos=initial.txt,SUV,100,-400,60,82.539,187.512,44.943,82.539,-10.16,95,30
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-400_rot=90_pos=initial.txt,SUV,100,-400,90,126.368,205.782,21.506,126.368,-18.492,90,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=0_pos=initial.txt,SUV,100,0,0,62.116,23.224,33.878,62.116,-9.24,53,28
