,Path,CarProfile,Velocity,Translation,Rotation,Position,HIC15_max,HIC36_max,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,BrIC_abs_max,Chest_Resultant_Acceleration_max,Chest_Resultant_Acceleration_CLIP3ms_max
441,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=-400_rot=330_pos=initial.txt,MPV,40,-400,330,initial,49765.259,49765.259,492.968,1793.619,215.332,1.832,226.136,114.135
442,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=-400_rot=60_pos=initial.txt,MPV,40,-400,60,initial,72035.711,72035.711,774.367,1402.188,185.813,1.577,185.074,72.068
443,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=-400_rot=90_pos=initial.txt,MPV,40,-400,90,initial,9956.748,9956.748,594.89,277.035,35.315,1.851,98.527,44.695
444,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=0_pos=initial.txt,MPV,40,0,0,initial,108.297,169.376,39.888,9.577,23.32,0.988,45.409,34.313
445,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=120_pos=initial.txt,MPV,40,0,120,initial,132268.833,132268.833,531.615,2634.195,351.921,1.829,457.481,226.662
446,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=150_pos=initial.txt,MPV,40,0,150,initial,5734.674,5734.674,396.478,282.122,95.669,1.045,82.45,43.264
447,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=180_pos=initial.txt,MPV,40,0,180,initial,97.75,133.231,39.326,9.644,23.755,0.996,36.674,33.937
448,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=210_pos=initial.txt,MPV,40,0,210,initial,6970.173,6970.173,165.169,478.23,54.336,1.678,90.738,39.025
449,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=240_pos=initial.txt,MPV,40,0,240,initial,62073.809,62073.809,169.499,1848.349,81.672,2.132,68.781,43.278
450,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=270_pos=initial.txt,MPV,40,0,270,initial,40585.092,40585.092,352.568,1574.591,48.002,1.42,86.962,47.257
451,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=300_pos=initial.txt,MPV,40,0,300,initial,14627.088,14627.088,120.612,830.231,87.541,2.217,101.014,44.566
452,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=30_pos=initial.txt,MPV,40,0,30,initial,5457.276,5457.276,257.633,379.559,102.657,1.115,70.388,35.891
453,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=330_pos=initial.txt,MPV,40,0,330,initial,0.0,0.0,0.918,0.396,0.0,0.0,1.699,0.042
454,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=60_pos=initial.txt,MPV,40,0,60,initial,68291.65,68291.65,536.544,1650.493,79.649,1.759,315.44,73.235
455,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=0_rot=90_pos=initial.txt,MPV,40,0,90,initial,74705.662,74705.662,1042.686,1495.062,38.905,1.95,325.769,85.891
456,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=0_pos=initial.txt,MPV,40,200,0,initial,106.516,135.779,39.663,10.516,39.63,0.934,47.301,33.903
457,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=120_pos=initial.txt,MPV,40,200,120,initial,51347.049,51347.049,493.098,1405.806,123.622,1.805,250.797,76.357
458,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=150_pos=initial.txt,MPV,40,200,150,initial,7267.251,7267.251,380.897,395.263,63.768,1.19,105.468,49.001
459,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=180_pos=initial.txt,MPV,40,200,180,initial,104.452,143.422,39.128,25.073,28.731,1.012,37.684,29.049
460,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=210_pos=initial.txt,MPV,40,200,210,initial,16849.593,16849.593,248.029,886.66,126.776,1.723,105.768,46.978
461,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=240_pos=initial.txt,MPV,40,200,240,initial,19860.003,19860.003,125.074,879.747,74.504,1.363,57.186,44.645
462,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=270_pos=initial.txt,MPV,40,200,270,initial,33003.927,33003.927,289.579,906.817,126.201,1.293,110.992,59.632
463,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=300_pos=initial.txt,MPV,40,200,300,initial,47512.674,47512.674,219.013,1631.455,179.331,2.069,91.614,39.349
464,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=30_pos=initial.txt,MPV,40,200,30,initial,24334.339,24334.339,381.949,943.504,220.516,1.403,90.593,53.019
465,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=330_pos=initial.txt,MPV,40,200,330,initial,12657.525,12657.525,173.085,684.285,94.051,1.702,75.492,45.007
