Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
26,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=150_pos=initial.txt,FCR,100,0,150,,125,365.782,-61.374,1036.303,770,1160,1460,1070,11.0,816,30
27,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=180_pos=initial.txt,FCR,100,0,180,,158,953.946,65.83,985.639,770,1160,1460,1070,11.0,816,30
28,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=210_pos=initial.txt,FCR,100,0,210,,113,260.777,140.303,1025.01,770,1160,1460,1070,11.0,816,30
29,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=240_pos=initial.txt,FCR,100,0,240,,106,105.942,74.298,1021.541,770,1160,1460,1070,11.0,816,30
30,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=270_pos=initial.txt,FCR,100,0,270,,101,99.23,39.264,1000.031,770,1160,1460,1070,11.0,816,30
31,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=300_pos=initial.txt,FCR,100,0,300,,105,110.862,5.882,1020.096,770,1160,1460,1070,11.0,816,30
32,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=30_pos=initial.txt,FCR,100,0,30,,125,360.77,158.2,1036.127,770,1160,1460,1070,11.0,816,30
33,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=60_pos=initial.txt,FCR,100,0,60,,110,203.498,108.011,1025.345,770,1160,1460,1070,11.0,816,30
34,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=90_pos=initial.txt,FCR,100,0,90,,112,203.236,38.628,970.761,770,1160,1460,1070,11.0,816,30
35,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=0_pos=initial.txt,FCR,100,200,0,,162,991.599,272.399,993.595,770,1160,1460,1070,11.0,816,30
36,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=120_pos=initial.txt,FCR,100,200,120,,111,180.851,163.448,1030.763,770,1160,1460,1070,11.0,816,30
37,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=150_pos=initial.txt,FCR,100,200,150,,123,346.36,142.107,1029.943,770,1160,1460,1070,11.0,816,30
38,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=180_pos=initial.txt,FCR,100,200,180,,142,740.435,320.412,999.654,770,1160,1460,1070,11.0,816,30
39,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=210_pos=initial.txt,FCR,100,200,210,,116,246.59,327.812,1031.667,770,1160,1460,1070,11.0,816,30
40,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=240_pos=initial.txt,FCR,100,200,240,,107,196.326,308.592,962.655,770,1160,1460,1070,11.0,816,30
41,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=270_pos=initial.txt,FCR,100,200,270,,102,164.085,185.745,959.414,770,1160,1460,1070,11.0,816,30
