FCR_VelPath,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,MaxAccel,MaxAccelIndex
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=60_pos=initial.txt,FCR,20,400,60,93.164,150.255,48.465,118,117,117,180.31987170858346,118
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=90_pos=initial.txt,FCR,20,400,90,123.265,162.585,52.838,113,109,109,193.00935140557309,113
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=0_pos=initial.txt,FCR,40,-200,0,37.272,7.101,24.914,150,152,70,37.87040810448179,70
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=120_pos=initial.txt,FCR,40,-200,120,92.38,155.559,38.124,111,111,111,184.89485189425906,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=150_pos=initial.txt,FCR,40,-200,150,54.147,73.679,62.471,130,130,133,107.81466769878763,130
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=180_pos=initial.txt,FCR,40,-200,180,35.266,18.845,45.825,166,170,66,47.12090459658006,168
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=210_pos=initial.txt,FCR,40,-200,210,37.544,109.463,16.036,114,123,124,110.23172003103281,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=240_pos=initial.txt,FCR,40,-200,240,34.824,144.846,18.554,107,118,297,146.80919204872697,107
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=270_pos=initial.txt,FCR,40,-200,270,74.324,307.569,27.35,102,284,102,317.1759174622185,102
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=300_pos=initial.txt,FCR,40,-200,300,64.688,123.764,19.594,106,127,115,124.74477119302436,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=30_pos=initial.txt,FCR,40,-200,30,62.773,116.575,55.969,120,120,121,140.31059149615186,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=330_pos=initial.txt,FCR,40,-200,330,36.501,105.336,37.717,115,119,119,112.47059215634992,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=60_pos=initial.txt,FCR,40,-200,60,94.633,162.084,21.46,111,110,111,188.13711954050962,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=90_pos=initial.txt,FCR,40,-200,90,136.662,299.535,20.917,114,114,114,329.90186322298945,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=0_pos=initial.txt,FCR,40,-400,0,40.579,22.123,47.023,142,142,71,51.978944612217745,142
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=120_pos=initial.txt,FCR,40,-400,120,97.312,143.404,43.572,116,116,116,178.69765455651623,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=150_pos=initial.txt,FCR,40,-400,150,51.686,87.824,77.097,129,130,133,122.98535354260684,129
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=180_pos=initial.txt,FCR,40,-400,180,37.265,9.982,30.688,151,153,67,38.08527947908483,67
