Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=120_pos=initial.txt,FCR,20,400,120,118.444,214.863,45.582,119,118,119,118.444,-9.937,119,136
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=150_pos=initial.txt,FCR,20,400,150,67.066,101.651,16.041,122,126,128,67.066,-10.241,128,242
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=180_pos=initial.txt,FCR,20,400,180,40.91,13.882,26.236,253,156,72,40.91,-8.146,72,207
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=210_pos=initial.txt,FCR,20,400,210,47.783,105.247,52.886,120,120,125,47.783,-18.506,125,129
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=240_pos=initial.txt,FCR,20,400,240,40.413,115.682,61.449,113,123,105,40.413,-37.811,105,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=270_pos=initial.txt,FCR,20,400,270,66.603,138.406,42.606,111,116,121,53.935,-66.603,106,121
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=300_pos=initial.txt,FCR,20,400,300,43.575,245.114,100.05,116,116,103,43.575,-35.3,103,108
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=30_pos=initial.txt,FCR,20,400,30,74.819,65.959,65.288,133,133,146,74.819,-17.594,146,36
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=330_pos=initial.txt,FCR,20,400,330,62.207,123.796,36.35,119,119,131,27.844,-62.207,75,131
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=60_pos=initial.txt,FCR,20,400,60,93.164,150.255,48.465,118,117,117,93.164,-17.12,117,222
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=90_pos=initial.txt,FCR,20,400,90,123.265,162.585,52.838,113,109,109,123.265,-16.501,109,128
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=0_pos=initial.txt,FCR,40,-200,0,37.272,7.101,24.914,150,152,70,37.272,-7.885,70,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=120_pos=initial.txt,FCR,40,-200,120,92.38,155.559,38.124,111,111,111,92.38,-11.393,111,146
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=150_pos=initial.txt,FCR,40,-200,150,54.147,73.679,62.471,130,130,133,54.147,-12.156,133,199
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=180_pos=initial.txt,FCR,40,-200,180,35.266,18.845,45.825,166,170,66,35.266,-8.711,66,224
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=210_pos=initial.txt,FCR,40,-200,210,37.544,109.463,16.036,114,123,124,30.334,-37.544,120,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=240_pos=initial.txt,FCR,40,-200,240,34.824,144.846,18.554,107,118,297,32.935,-34.824,53,297
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=270_pos=initial.txt,FCR,40,-200,270,74.324,307.569,27.35,102,284,102,50.615,-74.324,51,102
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=300_pos=initial.txt,FCR,40,-200,300,64.688,123.764,19.594,106,127,115,42.766,-64.688,128,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=30_pos=initial.txt,FCR,40,-200,30,62.773,116.575,55.969,120,120,121,62.773,-15.265,121,198
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=330_pos=initial.txt,FCR,40,-200,330,36.501,105.336,37.717,115,119,119,36.501,-12.893,119,126
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=60_pos=initial.txt,FCR,40,-200,60,94.633,162.084,21.46,111,110,111,94.633,-10.09,111,176
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=90_pos=initial.txt,FCR,40,-200,90,136.662,299.535,20.917,114,114,114,136.662,-74.173,114,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=0_pos=initial.txt,FCR,40,-400,0,40.579,22.123,47.023,142,142,71,40.579,-7.374,71,278
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=120_pos=initial.txt,FCR,40,-400,120,97.312,143.404,43.572,116,116,116,97.312,-6.447,116,293
